Province,Postal abbreviation,Capital
Ontario,ON,Toronto
Quebec,QC,Quebec City
Nova Scotia,NS,Halifax
New Brunswick,NB,Fredericton
Mantioba,MB,Winnipeg
British Columbia,BC,Victoria
Prince Edward Island,PE,Charlottetown
Saskatchewan,SK,Regina
Alberta,AB,Edmorton
Newfoundland and Labrador,NL,St. John's
