GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, REGION_ABBR, REGION_CODE, REGION, REGION_FORMAL, REGION_ORIGINAL
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, MACAU, MC, MACAU, MACAU SPECIAL ADMINISTRATIVE REGION, CHINA- MACAO SAR
5, ES, ESP, SPAIN, KINGDOM OF SPAIN, LLEIDA, L, LLEIDA, PROVINCE OF LLEIDA, LLEIDA
5, ES, ESP, SPAIN, KINGDOM OF SPAIN, LLEIDA, L, LLEIDA, PROVINCE OF LLEIDA, SPAIN-LLEIDA
5, ES, ESP, SPAIN, KINGDOM OF SPAIN, CEUTA, , CEUTA, CEUTA CITY, CEUTA
5, ES, ESP, SPAIN, KINGDOM OF SPAIN, MELILLA, , MELILLA, MELILLA CITY, MELILLA
5, IT, ITA, ITALY, ITALIAN REPUBLIC, CUNEO, CN, CUNEO, PROVINCE OF CUNEO, CUNEO
5, IT, ITA, ITALY, ITALIAN REPUBLIC, CUNEO, CN, CUNEO, PROVINCE OF CUNEO, ITALY-CUN
5, BE, BEL, BELGIUM, KINGDOM OF BELGIUM, DANIS, ZZ, DANIS, DANIS COMPANY, BELGIUM-DANIS
5, NL, NLD, NETHERLANDS, KINGDOM OF THE NETHERLANDS, CURACAO, CW, CURACAO, COUNTRY OF CURA?AO, CURAAO
5, NL, NLD, NETHERLANDS, KINGDOM OF THE NETHERLANDS, CURACAO, CW, CURACAO, COUNTRY OF CURA?AO, CURACAO
5, NL, NLD, NETHERLANDS, KINGDOM OF THE NETHERLANDS, CURACAO, CW, CURACAO, COUNTRY OF CURA?AO, CURA?AO
5, NL, NLD, NETHERLANDS, KINGDOM OF THE NETHERLANDS, SINT MAARTEN, SX, SINT MAARTEN, SINT MAARTEN, SINT MAARTEN
5, NL, NLD, NETHERLANDS, KINGDOM OF THE NETHERLANDS, BEURSPRIJS, ZZ, NETHERLANDS-BEURSPRIJS, BEURSPRIJS COMPANY, NETHERLANDS-BEURSPRIJS
5, JP, JPN, JAPAN, , TOKYO, 13, TOKYO, TOKYO METROPOLIS, TOKYO
5, JP, JPN, JAPAN, , TOKYO, 13, TOKYO, TOKYO METROPOLIS, JAPAN(TOKYO MARKET)
5, FR, FRA, FRANCE, FRENCH REPUBLIC, MPB, ZZ, MPB COMPANY, MPB COMPANY, FRANCE-MPB
5, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, , , NORTHERN IRELAND, NORTHERN IRELAND, NORTHERN IRELAND
5, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, , , BRITISH PACIFIC ISLANDS, BRITISH PACIFIC ISLANDS, BRITISH PACIFIC ISLANDS(*)
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, , , US MINOR OUTLYING ISLANDS, U.S. MINOR OUTLYING ISLANDS, U.S. MINOR OUTLYING ISLANDS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, , , US MINOR OUTLYING ISLANDS, U.S. MINOR OUTLYING ISLANDS, UNITED STATES MINOR OUTLYING ISLANDS
5, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, , , LEEWARD ISLANDS, FEDERAL COLONY OF THE LEEWARD ISLANDS, LEEWARD ISLANDS
5, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, , , WINWARD ISLANDS, FEDERAL COLONY OF THE WINWARD ISLANDS, WINDWARD ISLANDS
5, FR, FRA, FRANCE, FRENCH REPUBLIC, , , FRENCH PACIFIC ISLANDS, FRENCH PACIFIC ISLANDS, FRENCH PACIFIC ISLANDS(*)
5, FR, FRA, FRANCE, FRENCH REPUBLIC, , , FRENCH WEST INDIES, FRENCH WEST INDIES, FRENCH WEST INDIES(*)
5, AL, ALB, ALBANIA, REPUBLIC OF ALBANIA, , , BUNKERS, BUNKERS, BUNKERS
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, MACAU, MC, MACAU, MACAU SPECIAL ADMINISTRATIVE REGION, MACAU (SPECIAL ADMINISTRATIVE REGION)
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, HONG KONG, HK, HONG KONG, HONG KONG SPECIAL ADMINISTRATIVE REGION, HONG KONG (SPECIAL ADMINISTRATIVE REGION)
