GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, AREA, AREA_ORIGINAL, REGION_ABBR, REGION_CODE, REGION
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 1 (CT ME NH VT MA RI), REGION 1 (CT ME NH VT MA RI), MAINE, ME, MAINE
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 1 (CT ME NH VT MA RI), REGION 1 (CT ME NH VT MA RI), N.H., NH, NEW HAMPSHIRE
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 1 (CT ME NH VT MA RI), REGION 1 (CT ME NH VT MA RI), VT., VT, VERMONT
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 1 (CT ME NH VT MA RI), REGION 1 (CT ME NH VT MA RI), MASS., MA, MASSACHUSETTS
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 1 (CT ME NH VT MA RI), REGION 1 (CT ME NH VT MA RI), R.I., RI, RHODE ISLAND
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY), COLO., CO, COLORADO
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY), MONT., MT, MONTANA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY), N.D., ND, NORTH DAKOTA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY), S.D., SD, SOUTH DAKOTA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY), UTAH, UT, UTAH
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY), WYO., WY, WYOMING
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 3 (DE-MD PA WV VA), REGION 3 (DE-MD PA WV VA), DEL., DE, DELAWARE
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 3 (DE-MD PA WV VA), REGION 3 (DE-MD PA WV VA), MD., MD, MARYLAND
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 3 (DE-MD PA WV VA), REGION 3 (DE-MD PA WV VA), PA., PA, PENNSYLVANIA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 3 (DE-MD PA WV VA), REGION 3 (DE-MD PA WV VA), W.VA., WV, WEST VIRGINIA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 3 (DE-MD PA WV VA), REGION 3 (DE-MD PA WV VA), VA., VA, VIRGINIA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 6 (AR LA NM OK TX), REGION 6 (AR LA NM OK TX), ARK., AR, ARKANSAS
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 6 (AR LA NM OK TX), REGION 6 (AR LA NM OK TX), LA., LA, LOUISIANA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 6 (AR LA NM OK TX), REGION 6 (AR LA NM OK TX), N.M., NM, NEW MEXICO
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 6 (AR LA NM OK TX), REGION 6 (AR LA NM OK TX), OKLA., OK, OKLAHOMA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 6 (AR LA NM OK TX), REGION 6 (AR LA NM OK TX), TEX., TX, TEXAS
