hs_code,type,datas_code,datas_desc,type_pure_string
3501101000,CASEIN FOR THE MANUFACTURE OF ARTIFICIAL TEXTILE FIBRES,3501101000,CASEIN FOR THE MANUFACTURE OF ARTIFICIAL TEXTILE FIBRES,CASEINFORTHEMANUFACTUREOFARTIFICIALTEXTILEFIBRES
3501105000,CASEIN FOR INDUSTRIAL USES (EXCL. THE MANUFACTURE OF FOODSTUFFS OR FODDER AND ARTIFICIAL TEXTILE FIBRES),3501105000,CASEIN FOR INDUSTRIAL USES (EXCL. THE MANUFACTURE OF FOODSTUFFS OR FODDER AND ARTIFICIAL TEXTILE FIBRES),CASEINFORINDUSTRIALUSESEXCLTHEMANUFACTUREOFFOODSTUFFSORFODDERANDARTIFICIALTEXTILEFIBRES
3501109000,CASEIN FOR THE MANUFACTURE OF FOODSTUFFS AND FODDER AND OTHER TYPES OF CASEIN (EXCL. THE MANUFACTURE OF ARTIFICIAL TEXTILE FIBRES AND OTHER INDUSTRIAL USES),3501109000,CASEIN FOR THE MANUFACTURE OF FOODSTUFFS AND FODDER AND OTHER TYPES OF CASEIN (EXCL. THE MANUFACTURE OF ARTIFICIAL TEXTILE FIBRES AND OTHER INDUSTRIAL USES),CASEINFORTHEMANUFACTUREOFFOODSTUFFSANDFODDERANDOTHERTYPESOFCASEINEXCLTHEMANUFACTUREOFARTIFICIALTEXTILEFIBRESANDOTHERINDUSTRIALUSES
3501901000,CASEIN GLUES (EXCL. THOSE PUT UP FOR RETAIL SALE AS GLUE AND WEIGHING NET <= 1 KG),3501901000,CASEIN GLUES (EXCL. THOSE PUT UP FOR RETAIL SALE AS GLUE AND WEIGHING NET <= 1 KG),CASEINGLUESEXCLTHOSEPUTUPFORRETAILSALEASGLUEANDWEIGHINGNET<1KG
3501909000,CASEINATES AND OTHER CASEIN DERIVATIVES,3501909000,CASEINATES AND OTHER CASEIN DERIVATIVES,CASEINATESANDOTHERCASEINDERIVATIVES
