,keys,values,0,1,2,3
139,7:3:0:10,60963.27,7,3,0,10
140,7:3:0:13,62134.87,7,3,0,13
141,7:3:0:12,61795.24,7,3,0,12
142,7:3:0:19,63920.25,7,3,0,19
143,7:3:0:18,63652.04,7,3,0,18
144,32:1:0:8,3387.9,32,1,0,8
145,32:1:0:9,3447.0,32,1,0,9
146,32:1:0:0,2798.4,32,1,0,0
147,32:1:0:1,2880.6,32,1,0,1
148,32:1:0:2,2953.5,32,1,0,2
149,32:1:0:3,3025.1,32,1,0,3
150,32:1:0:4,3103.5,32,1,0,4
151,32:1:0:5,3186.8,32,1,0,5
152,32:1:0:6,3262.5,32,1,0,6
153,32:1:0:7,3328.2,32,1,0,7
154,32:16:0:14,2.419002,32,16,0,14
155,17:5:0:9,1243.851,17,5,0,9
156,17:5:0:8,1264.609,17,5,0,8
157,17:5:0:7,1280.714,17,5,0,7
158,17:5:0:6,1255.524,17,5,0,6
159,17:5:0:5,1228.946,17,5,0,5
160,17:5:0:4,1229.339,17,5,0,4
161,17:5:0:3,1266.055,17,5,0,3
162,17:5:0:2,1308.326,17,5,0,2
163,17:5:0:1,1354.896,17,5,0,1
164,17:5:0:0,1402.875,17,5,0,0
165,29:2:0:9,143828.0,29,2,0,9
166,29:2:0:8,142428.9,29,2,0,8
167,29:2:0:7,141230.6,29,2,0,7
168,29:2:0:6,139891.5,29,2,0,6
169,29:2:0:5,138443.4,29,2,0,5
170,29:2:0:4,136802.9,29,2,0,4
171,29:2:0:3,135129.9,29,2,0,3
172,29:2:0:2,133473.5,29,2,0,2
173,29:2:0:1,131807.5,29,2,0,1
174,29:2:0:0,130215.4,29,2,0,0
175,31:4:0:8,1366.25,31,4,0,8
176,31:4:0:9,1358.85,31,4,0,9
177,31:4:0:2,1393.074,31,4,0,2
178,31:4:0:3,1379.237,31,4,0,3
179,31:4:0:0,1425.192,31,4,0,0
180,31:4:0:1,1405.996,31,4,0,1
181,31:4:0:6,1383.51,31,4,0,6
182,31:4:0:7,1375.19,31,4,0,7
183,31:4:0:4,1401.25,31,4,0,4
184,31:4:0:5,1392.72,31,4,0,5
185,27:10:0:7,0.0,27,10,0,7
186,27:10:0:6,0.0,27,10,0,6
187,27:10:0:5,0.0,27,10,0,5
188,27:10:0:4,0.0,27,10,0,4
189,27:10:0:3,0.0,27,10,0,3
190,27:10:0:2,0.0,27,10,0,2
191,27:10:0:1,0.0,27,10,0,1
192,27:10:0:0,0.0,27,10,0,0
193,27:10:0:9,0.0,27,10,0,9
194,27:10:0:8,0.0,27,10,0,8
195,26:14:0:0,2.672467,26,14,0,0
196,26:14:0:1,2.880435,26,14,0,1
197,26:14:0:2,2.503207,26,14,0,2
198,26:14:0:3,2.303797,26,14,0,3
199,26:14:0:4,2.226347,26,14,0,4
200,26:14:0:5,2.217351,26,14,0,5
201,26:14:0:6,1.531416,26,14,0,6
202,26:14:0:7,1.455643,26,14,0,7
203,26:14:0:8,1.196076,26,14,0,8
204,26:14:0:9,1.745961,26,14,0,9
205,34:0:0:11,43405.96,34,0,0,11
206,34:0:0:10,42888.59,34,0,0,10
207,34:0:0:17,46581.82,34,0,0,17
208,34:0:0:16,46044.6,34,0,0,16
209,34:0:0:15,45509.59,34,0,0,15
210,34:0:0:14,44978.83,34,0,0,14
211,11:9:0:5,1.714,11,9,0,5
212,11:9:0:4,1.122,11,9,0,4
213,11:9:0:7,-0.275,11,9,0,7
214,11:9:0:6,0.968,11,9,0,6
215,11:9:0:1,-0.7,11,9,0,1
216,11:9:0:0,-0.7,11,9,0,0
217,11:9:0:3,0.88,11,9,0,3
218,11:9:0:2,0.069,11,9,0,2
219,11:9:0:9,0.53,11,9,0,9
220,11:9:0:8,-0.133,11,9,0,8
221,10:16:0:16,-0.28,10,16,0,16
222,30:0:0:1,14595.5,30,0,0,1
223,10:16:0:15,-0.2294722,10,16,0,15
224,15:6:0:14,444.849,15,6,0,14
225,13:2:0:4,27739.22,13,2,0,4
226,15:6:0:16,471.265,15,6,0,16
227,15:6:0:17,484.55,15,6,0,17
228,15:6:0:10,435.0,15,6,0,10
229,15:6:0:11,448.1,15,6,0,11
230,15:6:0:12,493.1,15,6,0,12
231,15:6:0:13,465.892,15,6,0,13
232,15:6:0:18,436.455,15,6,0,18
233,13:2:0:6,27884.0,13,2,0,6
234,4:4:0:1,10309.14,4,4,0,1
235,4:4:0:0,10321.34,4,4,0,0
236,4:4:0:3,10289.62,4,4,0,3
237,13:2:0:7,27950.0,13,2,0,7
238,4:4:0:5,10266.55,4,4,0,5
239,4:4:0:4,10278.1,4,4,0,4
240,4:4:0:7,10203.27,4,4,0,7
241,4:4:0:6,10206.44,4,4,0,6
242,4:4:0:9,10220.58,4,4,0,9
243,13:2:0:0,27564.89,13,2,0,0
244,7:4:0:4,58858.2,7,4,0,4
245,7:4:0:5,59266.57,7,4,0,5
246,7:4:0:2,58298.96,7,4,0,2
247,7:4:0:3,58496.61,7,4,0,3
248,7:4:0:0,57935.96,7,4,0,0
249,7:4:0:1,58116.02,7,4,0,1
250,13:2:0:2,27666.54,13,2,0,2
