hs_code,type,datas_code,datas_desc,type_pure_string
0406900001,cheese- in tins (not grated- powdered or processed),0406900001,cheese- in tins (not grated- powdered or processed),cheeseintinsnotgratedpowderedorprocessed
0406900019,cheese- colby (other than in tins- not grated- powdered or processed),0406900019,cheese- colby (other than in tins- not grated- powdered or processed),cheesecolbyotherthanintinsnotgratedpowderedorprocessed
0406900021,cheese- cheshire (other than in tins- not grated- powdered or processed),0406900021,cheese- cheshire (other than in tins- not grated- powdered or processed),cheesecheshireotherthanintinsnotgratedpowderedorprocessed
0406900029,cheese- egmont (other than in tins- not grated- powdered or processed),0406900029,cheese- egmont (other than in tins- not grated- powdered or processed),cheeseegmontotherthanintinsnotgratedpowderedorprocessed
0406900031,cheese- gouda (other than in tins- not grated- powdered or processed),0406900031,cheese- gouda (other than in tins- not grated- powdered or processed),cheesegoudaotherthanintinsnotgratedpowderedorprocessed
0406900039,cheese- (other than in tins- not grated- powdered or processed)- n.e.c. in item no. 0406.90,0406900039,cheese- (other than in tins- not grated- powdered or processed)- n.e.c. in item no. 0406.90,cheeseotherthanintinsnotgratedpowderedorprocessednecinitemno040690
0407000001,Eggs; birds' eggs- for hatching,0407000001,Eggs; birds' eggs- for hatching,Eggsbirdseggsforhatching
0407000009,Eggs; birds' eggs- in the shell- fresh- preserved or cooked,0407000009,Eggs; birds' eggs- in the shell- fresh- preserved or cooked,Eggsbirdseggsintheshellfreshpreservedorcooked
0407110000,Birds' eggs- in shell; fresh- fertilised eggs for incubation- of fowls of the species Gallus domesticus (domestic hens),0407110000,Birds' eggs- in shell; fresh- fertilised eggs for incubation- of fowls of the species Gallus domesticus (domestic hens),BirdseggsinshellfreshfertilisedeggsforincubationoffowlsofthespeciesGallusdomesticusdomestichens
0407190000,Birds' eggs- in shell; fresh- fertilised eggs for incubation- other than fowls of the species Gallus domesticus (domestic hens),0407190000,Birds' eggs- in shell; fresh- fertilised eggs for incubation- other than fowls of the species Gallus domesticus (domestic hens),BirdseggsinshellfreshfertilisedeggsforincubationotherthanfowlsofthespeciesGallusdomesticusdomestichens
0407210000,Birds' eggs- in shell; fresh- not for incubation- of fowls of the species Gallus domesticus (domestic hens),0407210000,Birds' eggs- in shell; fresh- not for incubation- of fowls of the species Gallus domesticus (domestic hens),BirdseggsinshellfreshnotforincubationoffowlsofthespeciesGallusdomesticusdomestichens
0407290000,Birds' eggs- in shell; fresh- not for incubation- other than fowls of the species Gallus domesticus (domestic hens),0407290000,Birds' eggs- in shell; fresh- not for incubation- other than fowls of the species Gallus domesticus (domestic hens),BirdseggsinshellfreshnotforincubationotherthanfowlsofthespeciesGallusdomesticusdomestichens
0407900000,Birds' eggs- in shell; preserved or cooked,0407900000,Birds' eggs- in shell; preserved or cooked,Birdseggsinshellpreservedorcooked
0408110000,Eggs; birds' eggs- yolks- dried- whether or not containing added sugar or other sweetening matter,0408110000,Eggs; birds' eggs- yolks- dried- whether or not containing added sugar or other sweetening matter,Eggsbirdseggsyolksdriedwhetherornotcontainingaddedsugarorothersweeteningmatter
0408190001,Eggs; birds' eggs- yolks- liquid,0408190001,Eggs; birds' eggs- yolks- liquid,Eggsbirdseggsyolksliquid
0408190009,Eggs; birds' eggs- yolks- cooked by steaming or by boiling in water- moulded- frozen or otherwise preserved- whether or not containing added sugar or other sweetening matter,0408190009,Eggs; birds' eggs- yolks- cooked by steaming or by boiling in water- moulded- frozen or otherwise preserved- whether or not containing added sugar or other sweetening matter,Eggsbirdseggsyolkscookedbysteamingorbyboilinginwatermouldedfrozenorotherwisepreservedwhetherornotcontainingaddedsugarorothersweeteningmatter
0408910000,Eggs; birds' eggs (not in shell- excluding yolks only)- dried- whether or not containing added sugar or other sweetening matter,0408910000,Eggs; birds' eggs (not in shell- excluding yolks only)- dried- whether or not containing added sugar or other sweetening matter,Eggsbirdseggsnotinshellexcludingyolksonlydriedwhetherornotcontainingaddedsugarorothersweeteningmatter
0408990001,Eggs; birds' eggs (not in shell- excluding yolks only)- liquid- whether or not containing added sugar or other sweetening matter,0408990001,Eggs; birds' eggs (not in shell- excluding yolks only)- liquid- whether or not containing added sugar or other sweetening matter,Eggsbirdseggsnotinshellexcludingyolksonlyliquidwhetherornotcontainingaddedsugarorothersweeteningmatter
0408990009,Eggs; birds' eggs (not in shell- excluding yolks only)- cooked by steaming or boiling in water- moulded- frozen or otherwise preserved- whether or not containing added sugar or other sweetening matter,0408990009,Eggs; birds' eggs (not in shell- excluding yolks only)- cooked by steaming or boiling in water- moulded- frozen or otherwise preserved- whether or not containing added sugar or other sweetening matter,Eggsbirdseggsnotinshellexcludingyolksonlycookedbysteamingorboilinginwatermouldedfrozenorotherwisepreservedwhetherornotcontainingaddedsugarorothersweeteningmatter
0409000001,Honey; natural honey- extracted- in bulk,0409000001,Honey; natural honey- extracted- in bulk,Honeynaturalhoneyextractedinbulk
0409000009,Honey; natural honey- extracted- in retail packs,0409000009,Honey; natural honey- extracted- in retail packs,Honeynaturalhoneyextractedinretailpacks
0409000011,Honey; natural honey- in the comb,0409000011,Honey; natural honey- in the comb,Honeynaturalhoneyinthecomb
0409000015,Honey; natural honey- honeydew,0409000015,Honey; natural honey- honeydew,Honeynaturalhoneyhoneydew
0409000018,Honey; natural honey- (other than extracted- comb or honeydew),0409000018,Honey; natural honey- (other than extracted- comb or honeydew),Honeynaturalhoneyotherthanextractedcomborhoneydew
0409000019,Honey; natural honey- n.e.s. in heading no. 0409,0409000019,Honey; natural honey- n.e.s. in heading no. 0409,Honeynaturalhoneynesinheadingno0409
0410000000,Animal products; edible- n.e.c. in this or other chapters,0410000000,Animal products; edible- n.e.c. in this or other chapters,Animalproductsediblenecinthisorotherchapters
0406200001,cheese- cheddar- grated or powdered,0406200001,cheese- cheddar- grated or powdered,cheesecheddargratedorpowdered
0406900011,cheese- cheddar (other than in tins- not grated- powdered or processed),0406900011,Dairy produce; cheese- cheddar (other than in tins- not grated- powdered or processed),cheesecheddarotherthanintinsnotgratedpowderedorprocessed
0406200011,Dairy produce; cheese- cheshire- grated or powdered,0406200011,Dairy produce; cheese- cheshire- grated or powdered,Dairyproducecheesecheshiregratedorpowdered
0406900011,Dairy produce; cheese- cheddar (other than in tins- not grated- powdered or processed),0406900011,Dairy produce; cheese- cheddar (other than in tins- not grated- powdered or processed),Dairyproducecheesecheddarotherthanintinsnotgratedpowderedorprocessed
3501100001,Casein; acid,3501100001,Casein; acid,Caseinacid
3501100011,Casein; rennet- other than acid,3501100011,Casein; rennet- other than acid,Caseinrennetotherthanacid
3501100019,Casein; other than acid and rennet,3501100019,Casein; other than acid and rennet,Caseinotherthanacidandrennet
3501900001,Caseinates,3501900010,Caseinates,Caseinates
3501900009,Casein glues,3501900021,Casein glues,Caseinglues
3501900010,Caseinates,3501900010,Caseinates,Caseinates
3501900019,Casein derivatives; n.e.c. in heading no. 3501,3501900019,Casein derivatives; n.e.c. in heading no. 3501,Caseinderivativesnecinheadingno3501
3501900021,Casein glues,3501900021,Casein glues,Caseinglues
3501900029,Casein derivatives; n.e.c. in heading 3501,3501900029,Casein derivatives; n.e.c. in heading 3501,Caseinderivativesnecinheading3501
3503001900,Glues; glues of animal origin- excluding casein glues of heading no. 3501,3503001900,Glues; glues of animal origin- excluding casein glues of heading no. 3501,Gluesgluesofanimaloriginexcludingcaseingluesofheadingno3501
0402990010,milk and cream- concentrated- containing added sugar or other sweetening matter- condensed,0402990010,milk and cream- concentrated- containing added sugar or other sweetening matter- condensed,milkandcreamconcentratedcontainingaddedsugarorothersweeteningmattercondensed
0402990015,milk and cream- concentrated- containing added sugar or other sweetening matter- evaporated,0402990015,milk and cream- concentrated- containing added sugar or other sweetening matter- evaporated,milkandcreamconcentratedcontainingaddedsugarorothersweeteningmatterevaporated
0402990017,milk and cream- concentrated- containing added sugar or other sweetening matter- other than in powder- granules or other solid forms- other than condensed or evaporated,0402990017,milk and cream- concentrated- containing added sugar or other sweetening matter- other than in powder- granules or other solid forms- other than condensed or evaporated,milkandcreamconcentratedcontainingaddedsugarorothersweeteningmatterotherthaninpowdergranulesorothersolidformsotherthancondensedorevaporated
0402990021,Dairy produce- milk and cream- other than concentrated- containing added sugar or other sweetening matter- Ultra-High Temparature (UHT) milk,0402990021,Dairy produce- milk and cream- other than concentrated- containing added sugar or other sweetening matter- Ultra-High Temparature (UHT) milk,DairyproducemilkandcreamotherthanconcentratedcontainingaddedsugarorothersweeteningmatterUltraHighTemparatureUHTmilk
0402990029,Dairy produce- milk and cream- other than concentrated- containing added sugar or other sweetening matter- other than in powder- granules or other solid forms- other than Ultra-High Temparature (UHT) milk,0402990029,Dairy produce- milk and cream- other than concentrated- containing added sugar or other sweetening matter- other than in powder- granules or other solid forms- other than Ultra-High Temparature (UHT) milk,DairyproducemilkandcreamotherthanconcentratedcontainingaddedsugarorothersweeteningmatterotherthaninpowdergranulesorothersolidformsotherthanUltraHighTemparatureUHTmilk
