"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","0405901020","AMF, QT","2015-2015","MT","725,302","183.7","2,047,264","574.3","4,855,038","1,325.4","1,273,443","346.9","2,864,132","748.4","3,305,243","867.3","924,370","219.7","849,844","201.4","1,293,494","388.8","1,992,047","648.5","488,149","180.0","6,984,188","2,278.2","27,602,514","7,962.5","1,331","1,166","US","R00","0405901020",""
"World Total","1","0405901020","AMF, QT","2016-2016","MT","2,373,846","728.3","2,489,437","705.0","3,777,622","1,002.4","1,522,161","390.6","869,851","219.9","1,154,973","319.1","1,320,065","363.0","2,362,353","632.0","1,095,417","268.2","2,247,338","588.1","4,189,093","1,069.9","2,132,092","455.2","25,534,248","6,741.7","-49","-57","US","R00","0405901020",""
"World Total","1","0405901020","AMF, QT","2017-2017","MT","2,522,892","580.0","1,211,933","243.3","1,068,369","198.1","921,471","170.6","1,562,862","311.5","828,717","167.9","1,462,277","269.7","1,032,321","173.7","536,306","115.3","1,321,312","223.8","805,930","145.0","17,815,361","2,801.9","31,089,751","5,400.9","2,111","1,833","US","R00","0405901020",""
"World Total","1","0405901020","AMF, QT","2018-2018","MT","2,674,769","441.3","993,536","229.5","430,091","111.9","287,318","61.0","1,789,082","326.9","929,162","145.1","3,091,798","485.5","1,565,114","232.9","1,067,541","172.3","5,422,498","883.9","3,470,353","537.1","16,925,833","2,761.1","38,647,095","6,388.6","388","414","US","R00","0405901020",""
"World Total","2","0405102000","BUTTER, OQT","2015-2015","MT","3,652,552","728.4","4,611,241","964.9","1,843,945","406.3","1,313,874","295.3","3,323,786","682.4","5,136,337","1,070.2","7,237,365","1,512.2","10,862,166","2,278.8","6,994,646","1,477.3","4,222,234","925.9","6,532,457","1,417.6","4,165,443","964.0","59,896,046","12,723.0","-36","-32","US","R00","0405102000",""
"World Total","2","0405102000","BUTTER, OQT","2016-2016","MT","7,081,673","1,551.9","8,619,533","1,936.2","9,495,581","2,197.6","5,311,929","1,219.5","5,007,782","1,218.7","11,105,215","2,393.4","7,693,484","1,780.7","9,380,061","1,954.7","8,556,069","1,711.9","3,294,485","774.2","4,710,038","999.3","9,562,561","2,062.2","89,818,411","19,800.3","103","106","US","R00","0405102000",""
"World Total","2","0405102000","BUTTER, OQT","2017-2017","MT","9,554,290","1,949.2","11,617,714","2,206.0","8,647,353","1,601.4","12,288,294","2,298.7","12,106,112","2,219.1","10,907,762","1,977.7","10,168,861","1,913.0","8,996,583","1,699.7","12,206,962","2,217.2","8,004,523","1,460.5","7,330,147","1,338.6","5,931,839","1,074.5","117,760,440","21,955.6","-19","-20","US","R00","0405102000",""
"World Total","2","0405102000","BUTTER, OQT","2018-2018","MT","11,425,375","1,711.7","14,159,763","2,180.9","9,431,802","1,461.4","11,713,740","1,840.1","8,002,998","1,220.8","16,988,574","2,558.5","17,240,306","2,821.2","19,900,298","3,445.3","20,297,789","3,468.9","20,228,184","3,418.3","16,577,883","2,898.1","16,892,051","3,151.9","182,858,763","30,177.1","2","9","US","R00","0405102000",""
"World Total","3","0405101000","BUTTER, QT","2015-2015","MT","1,588,048","359.5","3,374,282","822.0","6,544,248","1,307.4","5,236,198","1,116.9","3,423,698","683.7","1,873,795","379.9","1,282,531","277.6","1,636,064","383.3","1,283,273","283.4","6,688,462","1,379.0","6,897,694","1,518.8","2,222,771","488.2","42,051,064","8,999.7","-68","-68","US","R00","0405101000",""
"World Total","3","0405101000","BUTTER, QT","2016-2016","MT","1,823,487","441.8","2,959,685","770.5","4,981,135","1,187.9","1,122,940","220.1","2,322,615","446.2","2,818,856","676.0","1,330,298","251.4","1,113,329","226.2","848,712","181.2","5,098,191","981.5","3,182,990","652.0","5,343,078","1,118.7","32,945,316","7,153.5","68","72","US","R00","0405101000",""
