"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"World Total","3","0405101000","BUTTER, QT","2017-2017","MT","1,463,196","307.0","3,367,701","791.9","1,501,727","263.9","1,486,265","264.9","1,196,188","207.8","1,981,027","358.2","6,141,857","1,077.5","7,137,906","1,291.0","5,504,603","1,009.8","6,548,346","1,183.9","5,711,084","985.5","3,001,502","515.0","45,041,402","8,256.4","-47","-48","US","R00","0405101000",""
"World Total","3","0405101000","BUTTER, QT","2018-2018","MT","4,065,788","619.4","3,142,983","465.1","2,204,076","302.7","4,357,078","611.2","6,572,974","888.6","4,045,065","597.6","4,583,321","637.4","4,222,287","733.8","5,151,865","758.4","5,024,541","752.9","4,173,368","535.4","2,418,753","323.0","49,962,099","7,225.4","-42","-40","US","R00","0405101000",""
"World Total","4","0405902020","AMF, OQT","2015-2015","MT","1,693,131","421.4","3,303,163","902.5","3,426,795","845.6","3,560,617","851.1","3,710,592","890.0","2,849,936","680.8","5,911,517","1,468.1","4,692,634","1,195.6","453,448","110.9","1,607,654","367.5","1,500,678","361.1","2,187,865","544.7","34,898,030","8,639.4","46","51","US","R00","0405902020",""
"World Total","4","0405902020","AMF, OQT","2016-2016","MT","3,823,969","984.8","6,493,368","1,731.1","6,771,384","1,817.1","3,629,134","946.6","3,311,468","779.3","3,937,083","927.1","3,607,797","859.8","5,494,156","1,304.0","3,692,716","883.3","3,054,968","746.1","2,122,215","510.6","1,015,245","237.0","46,953,503","11,726.6","-52","-54","US","R00","0405902020",""
"World Total","4","0405902020","AMF, OQT","2017-2017","MT","859,005","207.9","1,283,221","307.5","8,097,742","1,983.8","3,510,730","646.4","2,560,425","467.6","2,623,794","481.5","2,825,520","557.2","4,476,925","770.0","949,107","161.3","2,010,628","340.4","2,533,411","406.5","6,233,991","952.6","37,964,499","7,282.6","146","134","US","R00","0405902020",""
"World Total","4","0405902020","AMF, OQT","2018-2018","MT","3,239,848","499.7","2,617,425","424.3","2,485,266","431.9","5,036,069","824.2","11,259,966","1,845.0","5,512,892","914.1","3,901,867","630.6","3,861,551","627.2","1,352,586","224.4","2,652,711","425.2","807,374","131.0","2,040,541","332.6","44,768,096","7,310.2","153","154","US","R00","0405902020",""
"World Total","5","0405901040","OMLK-FAT, QT","2015-2015","MT","0","0.0","0","0.0","0","0.0","108,541","163.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","108,541","163.2","","","US","R00","0405901040",""
"World Total","5","0405901040","OMLK-FAT, QT","2016-2016","MT","0","0.0","0","0.0","100,744","151.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","97,200","146.1","0","0.0","0","0.0","197,944","297.6","","","US","R00","0405901040",""
"World Total","5","0405901040","OMLK-FAT, QT","2017-2017","MT","62,073","93.3","0","0.0","0","0.0","0","0.0","58,280","87.6","0","0.0","0","0.0","0","0.0","0","0.0","145,805","219.2","4,500","1.0","7,281","0.4","277,939","401.5","62","-57","US","R00","0405901040",""
"World Total","5","0405901040","OMLK-FAT, QT","2018-2018","MT","0","0.0","0","0.0","338,684","509.1","514,349","773.2","344,661","518.1","203,322","305.6","402,450","605.0","511,419","768.8","339,350","510.1","632,841","951.3","344,731","518.2","346,402","520.7","3,978,209","5,980.2","","0","US","R00","0405901040",""
"World Total","6","0405202000","BUT LITE>45% QT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","129,227","17.6","0","0.0","0","0.0","70,721","9.6","98,242","13.4","0","0.0","298,190","40.6","","","US","R00","0405202000",""
"World Total","6","0405202000","BUT LITE>45% QT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","153,822","17.6","76,424","8.8","375,646","41.4","214,781","24.7","163,508","17.6","243,524","26.4","335,172","36.1","171,016","18.4","1,733,893","190.9","-49","-49","US","R00","0405202000",""
"World Total","7","0405204000","BUT SUB<45% NQT","2015-2015","MT","464,516","163.4","205,951","32.5","110,221","17.7","1,138,988","440.0","376,426","102.2","209,280","57.3","275,930","47.9","111,580","17.9","121,687","19.0","303,655","78.5","151,423","34.7","141,841","34.2","3,611,498","1,045.2","-6","-1","US","R00","0405204000",""
"World Total","7","0405204000","BUT SUB<45% NQT","2016-2016","MT","72,229","21.7","283,460","48.6","141,822","33.7","184,700","32.6","182,263","37.4","104,542","17.5","305,387","70.0","149,800","35.0","148,490","34.4","182,444","32.4","137,685","33.4","150,461","35.8","2,043,283","432.5","9","7","US","R00","0405204000",""
"World Total","7","0405204000","BUT SUB<45% NQT","2017-2017","MT","109,661","16.9","158,092","35.0","108,861","17.8","172,303","37.4","167,442","35.7","144,519","20.2","122,912","18.5","48,144","17.9","126,724","18.4","174,900","37.1","251,942","36.9","119,165","23.6","1,704,665","315.3","-53","-36","US","R00","0405204000",""
"World Total","7","0405204000","BUT SUB<45% NQT","2018-2018","MT","36,966","3.0","0","0.0","162,446","20.6","206,118","38.7","229,057","33.6","52,936","4.5","302,116","47.5","147,807","34.0","128,935","27.9","312,214","50.9","166,187","21.7","57,384","19.0","1,802,166","301.4","-65","-13","US","R00","0405204000",""
"World Total","8","0405208000","DAI SPD OTH NQ","2015-2015","MT","54,383","13.2","25,489","13.3","24,971","7.9","51,823","13.5","44,932","13.0","30,399","5.9","29,438","8.8","70,934","17.9","18,828","6.8","76,094","24.9","52,001","20.5","68,576","14.3","547,868","160.2","32","-30","US","R00","0405208000",""
"World Total","8","0405208000","DAI SPD OTH NQ","2016-2016","MT","28,490","3.9","7,545","4.9","52,455","11.6","76,115","14.7","19,711","12.4","49,932","11.2","20,927","6.1","109,150","22.8","68,723","13.3","42,957","7.2","95,698","32.9","24,843","6.3","596,546","147.3","-74","-81","US","R00","0405208000",""
"World Total","8","0405208000","DAI SPD OTH NQ","2017-2017","MT","146,904","30.2","25,592","13.5","52,343","15.5","68,979","17.5","58,584","14.4","142,958","31.4","65,669","20.3","38,784","17.3","225,126","24.2","67,813","30.1","123,451","22.3","140,862","43.8","1,157,065","280.4","14","96","US","R00","0405208000",""
"World Total","8","0405208000","DAI SPD OTH NQ","2018-2018","MT","117,204","26.5","17,848","7.7","73,048","16.5","93,639","30.0","93,767","22.4","182,019","39.1","38,683","17.5","62,084","11.7","7,249","4.5","39,325","21.3","38,189","10.0","51,395","16.7","814,450","224.0","35","66","US","R00","0405208000",""
"World Total","9","0405203000","BUT LITE>45% OQT","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,700","0.3","0","0.0","0","0.0","2,700","0.3","","","US","R00","0405203000",""
"World Total","9","0405203000","BUT LITE>45% OQT","2016-2016","MT","0","0.0","0","0.0","75,600","18.9","75,600","18.9","75,600","18.9","151,200","37.8","3,456","0.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","381,456","95.0","","","US","R00","0405203000",""
"World Total","9","0405203000","BUT LITE>45% OQT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","135,426","17.6","0","0.0","28,631","4.6","0","0.0","0","0.0","0","0.0","0","0.0","164,057","22.2","","","US","R00","0405203000",""
"World Total","9","0405203000","BUT LITE>45% OQT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,830","1.4","0","0.0","3,226","0.4","0","0.0","120,504","18.3","44,025","2.4","174,585","22.5","-63","-87","US","R00","0405203000",""
"World Total","10","0405902040","OMLK-FAT,OQT","2015-2015","MT","14,778","4.8","3,088","0.2","3,339","5.2","11,348","1.3","0","0.0","24,535","8.8","4,320","0.4","106,990","15.9","70,068","9.9","244,965","36.5","461,330","242.2","14,373","1.6","959,134","326.9","-97","-99","US","R00","0405902040",""
"World Total","10","0405902040","OMLK-FAT,OQT","2016-2016","MT","714,645","203.7","12,407","1.3","18,577","8.2","65,573","14.6","17,994","3.3","28,667","2.5","5,375","0.2","16,103","2.0","17,297","2.2","130,591","16.6","8,034","1.5","0","0.0","1,035,263","256.1","","","US","R00","0405902040",""
"World Total","10","0405902040","OMLK-FAT,OQT","2017-2017","MT","253,956","41.2","0","0.0","4,846","0.6","2,027","0.3","151,435","35.1","15,100","8.6","131,476","18.0","5,879","0.7","0","0.0","208,422","24.5","191,562","21.0","243,200","27.9","1,207,903","177.9","27","33","US","R00","0405902040",""
"World Total","10","0405902040","OMLK-FAT,OQT","2018-2018","MT","508,480","54.8","176,675","19.1","21,453","1.8","52,957","7.5","54,925","7.6","61,160","8.4","151,177","20.0","35,333","4.4","995,204","150.7","223,888","28.1","76,166","16.2","19,207","2.8","2,376,625","321.4","-75","-83","US","R00","0405902040",""
"World Total","11","0405100500","BUTTER, NQT","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","77,299","19.1","390,487","95.9","285,822","69.6","147,681","43.2","1,616,856","487.5","905,051","267.5","782,612","214.9","787,362","214.9","4,993,170","1,412.7","1","0","US","R00","0405100500",""
"World Total","11","0405100500","BUTTER, NQT","2016-2016","MT","789,064","215.8","201,129","49.4","585,984","143.9","157,506","39.3","488,112","120.0","414,961","106.2","61,500","17.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,698,256","691.7","","","US","R00","0405100500",""
"World Total","11","0405100500","BUTTER, NQT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","122,300","21.0","7,833","1.1","0","0.0","130,133","22.1","","","US","R00","0405100500",""
"World Total","11","0405100500","BUTTER, NQT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","55,100","9.5","0","0.0","57,110","10.0","0","0.0","73,625","13.5","75,013","13.8","0","0.0","0","0.0","260,848","46.8","","","US","R00","0405100500",""
"World Total","12","0405900520","AMF, NQT","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20,846","2.9","0","0.0","0","0.0","20,846","2.9","","","US","R00","0405900520",""
"World Total","12","0405900520","AMF, NQT","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","54,720","82.3","17,732","2.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","72,452","84.9","","","US","R00","0405900520",""
"World Total","12","0405900520","AMF, NQT","2018-2018","MT","0","0.0","0","0.0","3,380","0.1","2,600","-","0","0.0","0","0.0","3,120","-","0","0.0","0","0.0","0","0.0","9,384","0.9","0","0.0","18,484","1.1","","","US","R00","0405900520",""
"World Total","13","0405900540","OMLKFAT NQT","2015-2015","MT","0","0.0","30,922","6.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","15,166","22.8","0","0.0","46,088","29.1","","","US","R00","0405900540",""
"World Total","13","0405900540","OMLKFAT NQT","2016-2016","MT","0","0.0","2,330","0.2","0","0.0","0","0.0","10,670","13.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","13,000","13.2","","","US","R00","0405900540",""
"World Total","13","0405900540","OMLKFAT NQT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,602","1.3","0","0.0","0","0.0","6,602","1.3","","","US","R00","0405900540",""
"New Zealand(*)","1","0405901020","AMF, QT","2015-2015","MT","379,355","120.0","1,727,555","514.0","4,643,264","1,280.0","1,150,520","319.0","2,598,189","700.0","3,037,227","817.0","595,813","160.0","600,368","159.0","1,085,034","353.2","1,863,075","630.9","488,149","180.0","6,852,478","2,260.0","25,021,027","7,493.1","1,304","1,156","US","NZ","0405901020",""
"New Zealand(*)","1","0405901020","AMF, QT","2016-2016","MT","2,115,143","680.0","2,328,914","668.6","3,469,620","943.0","1,190,017","320.0","637,797","167.2","982,810","280.0","1,134,005","324.3","1,994,955","560.0","748,614","194.0","1,829,287","500.0","3,472,056","935.5","1,302,137","300.0","21,205,355","5,872.6","-62","-68","US","NZ","0405901020",""
"New Zealand(*)","1","0405901020","AMF, QT","2017-2017","MT","2,522,892","580.0","838,234","180.0","666,246","120.0","546,352","100.0","1,062,789","213.0","551,638","100.0","1,089,780","198.4","191,338","27.9","0","0.0","687,680","100.0","412,613","60.0","17,063,624","2,641.0","25,633,186","4,320.4","4,036","4,302","US","NZ","0405901020",""
"New Zealand(*)","1","0405901020","AMF, QT","2018-2018","MT","2,089,367","320.0","517,069","80.0","0","0.0","0","0.0","1,300,149","200.0","889,990","140.0","2,570,777","418.0","850,662","140.0","0","0.0","4,244,445","680.0","2,431,806","400.0","16,297,059","2,680.0","31,191,324","5,058.0","570","570","US","NZ","0405901020",""
"New Zealand(*)","2","0405102000","BUTTER, OQT","2015-2015","MT","749,290","176.8","1,122,167","241.5","1,276,121","299.8","688,663","156.7","0","0.0","0","0.0","0","0.0","60,387","17.4","60,433","17.4","120,900","34.8","621,033","177.8","260,602","48.0","4,959,596","1,170.2","-58","-73","US","NZ","0405102000",""
"New Zealand(*)","2","0405102000","BUTTER, OQT","2016-2016","MT","118,872","36.3","495,730","159.8","816,302","206.1","231,931","70.5","179,109","56.2","1,277,847","354.4","521,593","160.6","293,551","91.6","114,942","36.0","129,762","19.1","64,999","18.5","304,951","88.9","4,549,589","1,297.9","369","381","US","NZ","0405102000",""
"New Zealand(*)","2","0405102000","BUTTER, OQT","2017-2017","MT","621,416","173.7","61,435","18.0","436,832","90.1","232,604","54.8","0","0.0","14,515","2.9","250,944","38.4","250,944","38.4","0","0.0","117,570","33.6","0","0.0","0","0.0","1,986,260","449.9","","","US","NZ","0405102000",""
"New Zealand(*)","2","0405102000","BUTTER, OQT","2018-2018","MT","696,458","129.6","232,146","46.4","323,536","58.8","15,264","3.1","129,408","19.2","0","0.0","0","0.0","0","0.0","0","0.0","369,462","64.3","372,335","66.8","442,965","84.2","2,581,574","472.4","19","26","US","NZ","0405102000",""
"New Zealand(*)","3","0405101000","BUTTER, QT","2015-2015","MT","615,588","209.6","845,032","325.8","867,336","253.2","786,029","237.4","103,220","14.3","0","0.0","353,382","78.1","566,161","182.2","285,466","98.3","418,648","136.1","806,199","240.9","578,408","177.2","6,225,469","1,953.3","-28","-26","US","NZ","0405101000",""
"New Zealand(*)","3","0405101000","BUTTER, QT","2016-2016","MT","790,014","250.3","1,685,082","563.9","1,823,682","614.2","228,269","67.8","405,406","116.6","192,239","67.8","0","0.0","284,960","83.0","195,998","67.8","221,616","74.7","307,526","84.1","953,912","281.0","7,088,704","2,271.2","210","234","US","NZ","0405101000",""
"New Zealand(*)","3","0405101000","BUTTER, QT","2017-2017","MT","685,307","172.7","2,611,953","659.5","209,177","46.0","383,825","63.5","102,626","17.4","340,328","62.9","744,606","112.1","182,962","30.0","295,780","49.6","406,252","65.4","739,889","110.7","0","0.0","6,702,705","1,389.9","","","US","NZ","0405101000",""
"New Zealand(*)","3","0405101000","BUTTER, QT","2018-2018","MT","675,895","94.8","920,678","122.4","806,539","92.5","787,923","97.0","652,215","93.4","1,931,828","293.9","1,165,049","166.3","1,549,791","293.8","238,043","34.8","590,926","81.6","148,639","17.1","331,695","55.8","9,799,221","1,443.4","123","226","US","NZ","0405101000",""
"New Zealand(*)","4","0405901040","OMLK-FAT, QT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","30,562","45.9","90,417","135.9","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","120,979","181.9","","","US","NZ","0405901040",""
"New Zealand(*)","5","0405902020","AMF, OQT","2015-2015","MT","0","0.0","1,067,774","333.5","930,636","252.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12,182","1.7","2,010,592","587.2","","","US","NZ","0405902020",""
"New Zealand(*)","5","0405902020","AMF, OQT","2016-2016","MT","0","0.0","1,516,200","420.0","1,546,129","436.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,062,329","856.8","","","US","NZ","0405902020",""
"New Zealand(*)","5","0405902020","AMF, OQT","2017-2017","MT","0","0.0","0","0.0","6,535,747","1,633.9","2,432","0.3","0","0.0","0","0.0","0","0.0","0","0.0","3,540","0.4","0","0.0","0","0.0","0","0.0","6,541,719","1,634.6","","","US","NZ","0405902020",""
"New Zealand(*)","6","0405902040","OMLK-FAT,OQT","2015-2015","MT","5,053","0.5","0","0.0","0","0.0","0","0.0","0","0.0","3,394","0.3","0","0.0","5,991","0.8","0","0.0","6,080","1.1","444,823","240.0","3,798","0.5","469,139","243.3","-99","-100","US","NZ","0405902040",""
"Ireland","1","0405102000","BUTTER, OQT","2015-2015","MT","1,148,481","199.0","1,279,939","213.4","163,678","28.4","77,807","18.8","1,153,220","233.2","2,759,948","550.4","5,549,309","1,089.1","8,266,745","1,640.8","5,098,908","1,006.1","2,653,902","525.1","3,743,978","734.3","713,343","138.6","32,609,258","6,377.1","-81","-81","US","EI","0405102000",""
"Ireland","1","0405102000","BUTTER, OQT","2016-2016","MT","4,351,017","860.7","4,668,556","924.6","4,088,110","805.2","2,156,296","433.5","2,845,671","679.5","7,823,131","1,584.2","4,630,770","936.7","5,272,528","974.1","6,161,148","1,154.6","1,187,274","204.8","2,389,067","418.8","6,269,083","1,188.9","51,842,651","10,165.6","162","184","US","EI","0405102000",""
"Ireland","1","0405102000","BUTTER, OQT","2017-2017","MT","5,852,167","1,004.1","8,723,243","1,475.9","6,389,742","1,067.9","9,958,612","1,690.7","9,565,762","1,628.7","8,776,034","1,495.7","8,258,765","1,503.0","7,934,448","1,472.2","10,511,086","1,923.3","6,891,899","1,247.7","5,729,277","1,046.2","4,307,708","781.8","92,898,743","16,337.2","-25","-25","US","EI","0405102000",""
"Ireland","1","0405102000","BUTTER, OQT","2018-2018","MT","9,176,644","1,329.4","12,193,381","1,828.2","7,390,798","1,109.3","9,352,402","1,441.7","6,269,241","884.7","16,267,950","2,432.1","14,946,331","2,397.9","18,524,862","3,178.1","19,087,025","3,228.4","18,529,096","3,095.8","14,392,438","2,478.1","11,280,228","2,029.0","157,410,396","25,432.8","-22","-18","US","EI","0405102000",""
"Ireland","2","0405101000","BUTTER, QT","2015-2015","MT","0","0.0","841,633","172.4","3,017,546","528.7","2,482,778","477.4","1,128,189","214.9","92,486","18.7","0","0.0","179,138","36.6","0","0.0","4,027,124","800.3","4,784,334","969.7","1,106,521","202.0","17,659,749","3,420.7","-77","-79","US","EI","0405101000",""
"Ireland","2","0405101000","BUTTER, QT","2016-2016","MT","148,276","38.0","6,078","0.9","1,107,465","219.7","0","0.0","776,352","126.1","888,433","156.2","0","0.0","4,649","0.7","173,527","37.5","3,725,849","697.9","1,529,837","286.9","3,507,151","650.3","11,867,617","2,214.2","129","127","US","EI","0405101000",""
"Ireland","2","0405101000","BUTTER, QT","2017-2017","MT","0","0.0","74,435","10.8","305,524","43.9","0","0.0","0","0.0","383,029","67.7","3,070,365","539.4","3,672,989","608.2","2,898,942","505.8","2,746,255","504.9","2,475,337","433.6","1,138,432","191.2","16,765,308","2,905.3","-54","-56","US","EI","0405101000",""
"Ireland","2","0405101000","BUTTER, QT","2018-2018","MT","1,053,677","136.7","384,796","41.9","139,192","18.4","1,847,699","246.2","4,357,164","548.7","740,193","83.8","2,012,266","219.6","852,999","114.7","3,134,249","416.3","2,096,374","255.4","2,949,018","364.5","1,238,015","142.2","20,805,642","2,588.4","-58","-61","US","EI","0405101000",""
"Ireland","3","0405202000","BUT LITE>45% QT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","129,227","17.6","0","0.0","0","0.0","70,721","9.6","98,242","13.4","0","0.0","298,190","40.6","","","US","EI","0405202000",""
"Ireland","3","0405202000","BUT LITE>45% QT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","153,822","17.6","76,424","8.8","375,646","41.4","214,781","24.7","163,508","17.6","243,524","26.4","335,172","36.1","171,016","18.4","1,733,893","190.9","-49","-49","US","EI","0405202000",""
"Ireland","4","0405203000","BUT LITE>45% OQT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","135,426","17.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","135,426","17.6","","","US","EI","0405203000",""
"Ireland","4","0405203000","BUT LITE>45% OQT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","40,035","1.8","40,035","1.8","","","US","EI","0405203000",""
"Ireland","5","0405100500","BUTTER, NQT","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","582,825","183.0","0","0.0","0","0.0","0","0.0","582,825","183.0","","","US","EI","0405100500",""
"Ireland","6","0405901020","AMF, QT","2015-2015","MT","127,422","17.6","127,422","17.6","0","0.0","0","0.0","124,323","17.6","124,323","17.6","124,323","17.6","128,972","17.6","129,072","17.6","128,972","17.6","0","0.0","128,972","17.6","1,143,801","158.4","","","US","EI","0405901020",""
"Ireland","6","0405901020","AMF, QT","2016-2016","MT","123,548","17.6","0","0.0","123,820","17.6","0","0.0","0","0.0","0","0.0","37,023","5.3","102,056","14.1","50,916","7.0","76,557","10.6","172,427","23.8","190,746","26.4","877,093","122.3","11","11","US","EI","0405901020",""
"Ireland","6","0405901020","AMF, QT","2017-2017","MT","0","0.0","222,418","29.0","135,426","17.6","135,598","17.6","0","0.0","0","0.0","163,296","23.7","496,911","67.7","34,130","6.1","255,992","37.8","63,245","10.0","140,672","22.3","1,647,688","232.0","122","122","US","EI","0405901020",""
"Ireland","6","0405901020","AMF, QT","2018-2018","MT","521,242","110.1","376,505","115.5","199,325","59.5","46,445","7.3","46,759","7.4","0","0.0","0","0.0","0","0.0","163,508","55.6","0","0.0","0","0.0","0","0.0","1,353,784","355.4","","","US","EI","0405901020",""
"Ireland","7","0405902020","AMF, OQT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,399","0.6","3,399","0.6","","","US","EI","0405902020",""
"Ireland","7","0405902020","AMF, OQT","2018-2018","MT","0","0.0","0","0.0","183,860","45.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","183,860","45.2","","","US","EI","0405902020",""
"Ireland","8","0405902040","OMLK-FAT,OQT","2017-2017","MT","135,228","17.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","135,228","17.6","","","US","EI","0405902040",""
"Australia(*)","1","0405102000","BUTTER, OQT","2015-2015","MT","142,000","40.0","880,801","239.7","142,000","40.0","0","0.0","0","0.0","0","0.0","279,913","80.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1,444,714","399.6","","","US","AS","0405102000",""
"Australia(*)","1","0405102000","BUTTER, OQT","2016-2016","MT","0","0.0","606,501","159.7","1,259,354","339.9","0","0.0","0","0.0","0","0.0","758,083","297.6","0","0.0","0","0.0","0","0.0","0","0.0","1,036,479","269.7","3,660,417","1,066.8","","","US","AS","0405102000",""
"Australia(*)","1","0405102000","BUTTER, OQT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","707,853","120.0","0","0.0","0","0.0","0","0.0","707,853","120.0","","","US","AS","0405102000",""
