"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","0404901000","MK PC,WHT/NS,NES","2015-2015","MT","31,839,047","4,652.8","24,790,770","3,239.0","33,976,839","4,748.5","21,363,280","2,495.0","35,926,243","6,630.8","36,389,872","6,317.8","9,640,243","1,627.0","28,178,193","4,628.4","5,324,204","735.3","13,126,417","1,943.9","20,099,755","4,090.8","21,650,054","5,173.0","282,304,917","46,282.4","8","26","US","R00","0404901000",""
"World Total","1","0404901000","MK PC,WHT/NS,NES","2016-2016","MT","20,072,859","4,133.8","16,301,320","2,740.9","26,403,986","4,692.3","19,422,953","3,463.9","21,863,078","2,988.0","27,181,221","4,663.6","20,652,332","3,218.5","23,884,461","4,830.0","10,960,161","2,024.1","17,047,744","2,150.0","22,809,183","4,447.9","21,406,025","3,952.5","248,005,323","43,305.5","-6","-11","US","R00","0404901000",""
"World Total","1","0404901000","MK PC,WHT/NS,NES","2017-2017","MT","30,151,498","5,630.1","25,236,673","4,308.1","24,924,722","5,073.4","22,841,549","3,999.7","13,291,735","2,212.3","15,368,416","2,647.5","28,438,574","5,097.1","14,178,626","2,659.5","7,727,861","1,275.1","16,124,445","2,678.7","17,048,564","3,438.8","13,562,986","2,331.9","228,895,649","41,352.2","-20","-32","US","R00","0404901000",""
"World Total","1","0404901000","MK PC,WHT/NS,NES","2018-2018","MT","25,346,290","4,372.3","29,550,609","4,767.9","28,889,135","4,705.1","12,964,597","2,354.4","24,600,601","4,494.6","20,990,601","4,304.9","16,430,710","2,510.6","3,697,340","779.7","4,389,627","738.3","8,662,811","1,645.1","20,046,648","4,256.5","16,363,657","3,344.5","211,932,626","38,273.8","-18","-21","US","R00","0404901000",""
"World Total","2","0404100500","WHEY_PRO_CON,MOD","2015-2015","MT","6,192,176","2,774.4","4,145,127","2,344.4","4,985,918","2,566.7","2,766,652","2,099.2","2,433,527","2,294.4","2,414,419","2,279.6","2,529,146","2,590.0","1,807,489","2,150.6","2,183,009","1,745.9","2,273,483","2,151.7","2,249,560","2,289.9","2,072,450","2,155.4","36,052,956","27,442.1","-8","-6","US","R00","0404100500",""
"World Total","2","0404100500","WHEY_PRO_CON,MOD","2016-2016","MT","4,337,640","2,800.5","4,200,562","3,190.7","2,297,623","2,678.5","2,767,508","2,807.3","2,416,046","2,785.5","3,139,334","2,829.5","2,410,949","2,622.8","2,304,561","2,686.4","2,736,859","2,912.9","2,117,914","2,346.9","2,571,187","2,748.8","2,593,939","2,897.5","33,894,122","33,307.4","1","5","US","R00","0404100500",""
"World Total","2","0404100500","WHEY_PRO_CON,MOD","2017-2017","MT","2,147,360","2,366.2","3,582,026","2,756.8","2,515,821","2,633.1","3,749,781","3,082.2","2,786,976","2,890.8","2,946,727","2,773.2","2,305,074","2,442.7","2,446,415","2,633.0","2,186,759","2,540.8","3,132,747","2,491.6","2,839,775","2,503.7","2,696,150","2,750.0","33,335,611","31,864.1","-5","10","US","R00","0404100500",""
"World Total","2","0404100500","WHEY_PRO_CON,MOD","2018-2018","MT","2,324,215","2,813.2","2,120,139","2,342.8","2,233,897","2,579.2","2,914,902","2,490.0","1,945,767","2,428.3","2,671,758","2,584.8","2,874,379","2,668.6","2,855,636","2,862.5","3,125,355","2,579.0","2,701,155","2,505.5","3,181,826","2,750.8","2,355,691","2,576.2","31,304,720","31,180.9","-26","-6","US","R00","0404100500",""
"World Total","3","0404102000","WHY,CNC/SW,FLUID","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,526","14,838.0","0","0.0","0","0.0","0","0.0","0","0.0","6,526","14,838.0","","","US","R00","0404102000",""
"World Total","3","0404102000","WHY,CNC/SW,FLUID","2017-2017","LITER","106,250","735,000.0","127,238","900,000.0","182,750","1,290,000.0","165,750","1,143,000.0","110,017","814,949.0","147,488","1,172,213.0","168,738","1,322,213.0","76,500","480,060.0","85,000","570,300.0","83,664","600,030.0","129,922","1,140,000.0","146,004","1,235,090.0","1,529,321","11,402,855.0","12","8","US","R00","0404102000",""
