"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","5","0401500500","MC,NCS,10-45%,QT","2015-2015","LITER","68,030","29,166.0","27,341","4,650.0","0","0.0","97,411","43,001.0","136,238","68,163.0","35,670","14,939.0","106,460","54,807.0","93,759","54,164.0","122,202","54,510.0","35,197","16,032.0","120,967","70,506.0","57,850","39,802.0","901,125","449,740.0","-52","-44","US","R00","0401500500",""
"World Total","5","0401500500","MC,NCS,10-45%,QT","2016-2016","LITER","4,648","1,728.0","99,698","56,595.0","18,856","13,910.0","36,072","26,612.0","82,535","43,602.0","46,757","27,410.0","0","0.0","48,676","26,612.0","152,659","81,443.0","82,339","42,739.0","56,651","28,007.0","114,622","56,198.0","743,513","404,856.0","102","101","US","R00","0401500500",""
"World Total","5","0401500500","MC,NCS,10-45%,QT","2017-2017","LITER","66,677","11,340.0","151,206","68,816.0","276,836","67,506.0","74,283","39,241.0","163,848","36,192.0","229,643","79,401.0","206,829","64,787.0","262,219","86,401.0","325,801","110,501.0","311,020","104,930.0","147,550","70,315.0","176,789","61,769.0","2,392,701","801,199.0","20","-12","US","R00","0401500500",""
"World Total","5","0401500500","MC,NCS,10-45%,QT","2018-2018","LITER","259,745","78,362.0","193,048","56,391.0","347,786","113,212.0","57,260","24,298.0","135,053","44,860.0","320,876","103,136.0","112,600","20,563.0","289,743","111,387.0","472,381","169,052.0","83,931","41,204.0","324,170","126,684.0","168,233","67,659.0","2,764,826","956,808.0","-48","-47","US","R00","0401500500",""
"World Total","6","0401402500","MC,NC/S,6-10%,OT","2015-2015","LITER","18,905","15,026.0","19,914","19,524.0","0","0.0","18,666","18,300.0","13,489","13,224.0","93,013","91,188.0","41,775","40,956.0","3,493","1,728.0","23,453","22,992.0","128,961","127,668.0","0","0.0","93,612","91,776.0","455,281","442,382.0","","","US","R00","0401402500",""
"World Total","6","0401402500","MC,NC/S,6-10%,OT","2016-2016","LITER","59,873","56,885.0","0","0.0","84,848","83,184.0","4,695","2,400.0","6,193","6,072.0","72,963","69,688.0","30,355","29,760.0","162,740","156,850.0","41,127","40,320.0","79,481","75,747.0","87,137","83,884.0","44,090","43,224.0","673,502","648,014.0","-49","-48","US","R00","0401402500",""
"World Total","6","0401402500","MC,NC/S,6-10%,OT","2017-2017","LITER","4,156","2,400.0","17,074","14,716.0","121,681","116,712.0","23,489","23,028.0","47,981","47,040.0","59,123","56,042.0","34,198","33,528.0","0","0.0","62,085","56,270.0","145,153","135,360.0","39,169","38,400.0","60,162","45,288.0","614,271","568,784.0","54","18","US","R00","0401402500",""
"World Total","6","0401402500","MC,NC/S,6-10%,OT","2018-2018","LITER","128,746","121,181.0","0","0.0","99,474","102,720.0","66,420","64,238.0","33,120","34,560.0","102,548","113,280.0","44,064","43,200.0","55,815","54,720.0","17,626","17,280.0","9,081","2,799.0","33,386","29,472.0","37,314","33,880.0","627,594","617,330.0","12","15","US","R00","0401402500",""
"World Total","7","0401400500","MC,NC/S,6-10%,QT","2015-2015","LITER","145,305","23,309.0","25,970","3,756.0","145,079","20,926.0","218,770","41,850.0","44,986","8,822.0","130,819","21,163.0","245,291","51,244.0","94,070","28,339.0","322,259","59,257.0","61,236","15,863.0","179,435","36,484.0","59,398","8,585.0","1,672,618","319,598.0","-67","-76","US","R00","0401400500",""
"World Total","7","0401400500","MC,NC/S,6-10%,QT","2016-2016","LITER","133,831","19,317.0","198,879","38,023.0","202,412","35,716.0","104,055","15,024.0","108,479","25,824.0","81,638","36,190.0","104,055","15,024.0","206,463","79,409.0","43,694","16,504.0","172,088","61,118.0","10,517","4,035.0","78,080","22,452.0","1,444,191","368,636.0","642","456","US","R00","0401400500",""
