"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","0406909500","C/SB,IMX,>.5F,QT","2015-2015","MT","11,967,887","1,845.8","14,136,632","2,142.1","22,309,675","4,106.7","17,581,345","3,336.8","18,402,679","3,564.7","19,407,835","3,390.0","19,363,919","3,076.7","18,363,765","2,909.0","20,591,744","3,145.9","24,862,018","4,406.3","27,154,891","5,421.5","21,376,572","4,367.7","235,518,962","41,713.4","-21","-19","US","R00","0406909500",""
"World Total","1","0406909500","C/SB,IMX,>.5F,QT","2016-2016","MT","16,958,450","2,945.0","20,341,687","3,722.9","20,703,614","3,995.0","16,277,756","3,060.2","17,154,844","3,359.7","15,987,319","3,102.0","18,060,620","3,497.0","15,404,149","2,679.8","14,921,449","2,494.4","19,767,060","3,064.9","21,838,580","3,723.1","25,737,963","5,329.4","223,153,491","40,973.4","18","43","US","R00","0406909500",""
"World Total","1","0406909500","C/SB,IMX,>.5F,QT","2017-2017","MT","11,852,888","1,804.5","14,542,193","2,476.0","16,083,254","3,035.8","13,144,835","2,589.1","13,530,999","2,568.2","11,460,199","1,870.9","13,682,387","2,405.0","15,942,456","2,600.9","15,430,088","2,500.8","20,228,628","3,244.2","25,058,017","4,214.2","19,004,382","3,210.1","189,960,326","32,519.6","-24","-24","US","R00","0406909500",""
"World Total","1","0406909500","C/SB,IMX,>.5F,QT","2018-2018","MT","12,518,719","1,937.4","13,293,062","1,960.7","15,427,253","2,221.1","15,941,591","2,457.9","17,139,213","2,718.8","16,600,225","2,670.7","14,259,592","2,390.9","18,255,113","2,991.6","19,500,181","3,063.6","21,779,226","3,466.6","20,817,757","3,384.6","20,343,263","3,179.3","205,875,195","32,443.2","-2","-6","US","R00","0406909500",""
"World Total","2","0406909900","C/SB,IMX,OQ","2015-2015","MT","9,172,107","1,104.5","9,086,331","1,118.8","10,981,167","1,370.1","9,373,823","1,200.1","10,924,919","1,352.9","12,031,690","1,565.3","10,511,213","1,267.0","9,716,781","1,213.4","14,103,089","1,649.5","16,718,899","1,898.8","15,541,735","1,875.0","12,427,603","1,508.9","140,589,357","17,124.2","-20","-20","US","R00","0406909900",""
"World Total","2","0406909900","C/SB,IMX,OQ","2016-2016","MT","9,277,913","1,161.0","9,960,588","1,207.8","12,515,850","1,555.9","10,330,507","1,231.2","11,587,899","1,399.8","9,990,311","1,251.4","11,243,504","1,378.1","13,936,059","1,756.4","12,451,620","1,485.5","16,709,155","2,018.0","17,694,518","2,149.6","12,736,679","1,605.4","148,434,603","18,200.3","-28","-25","US","R00","0406909900",""
"World Total","2","0406909900","C/SB,IMX,OQ","2017-2017","MT","10,608,966","1,382.7","8,082,910","1,005.0","11,215,020","1,422.3","10,092,861","1,249.5","11,451,750","1,427.6","11,945,933","1,454.5","10,716,020","1,254.7","12,065,247","1,382.1","14,312,781","1,594.1","20,393,241","2,207.8","20,564,306","2,227.5","12,992,664","1,496.6","154,441,699","18,104.5","-37","-33","US","R00","0406909900",""
"World Total","2","0406909900","C/SB,IMX,OQ","2018-2018","MT","12,511,629","1,372.6","11,968,327","1,324.0","11,736,181","1,251.6","13,209,868","1,475.4","12,368,603","1,362.2","11,900,045","1,328.8","12,884,676","1,479.1","14,772,112","1,650.4","15,093,337","1,715.2","23,366,931","2,645.0","22,343,329","2,516.6","14,913,229","1,816.2","177,068,267","19,937.1","-33","-28","US","R00","0406909900",""
"World Total","3","0406905600","CH,SHMK,IOL,S4GR","2015-2015","MT","11,182,408","1,270.8","14,101,109","1,439.0","15,163,591","1,672.6","10,448,676","1,178.2","13,774,530","1,485.0","14,804,623","1,614.6","20,957,248","2,343.4","18,409,553","1,966.7","16,630,746","1,770.5","22,538,242","2,323.2","11,119,516","1,178.1","10,817,487","1,197.2","179,947,729","19,439.2","-3","2","US","R00","0406905600",""
