"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","0402994500","MK,CDN,SW,AC,OQ","2015-2015","MT","3,506,051","1,792.5","182,015","93.1","830,473","439.7","1,931,966","1,021.2","2,602,627","1,402.4","2,254,028","1,327.9","1,168,200","633.2","2,265,914","1,305.3","2,874,299","1,596.6","2,945,265","1,679.1","3,215,074","2,019.6","3,085,197","1,998.0","26,861,109","15,308.8","-4","-1","US","R00","0402994500",""
"World Total","1","0402994500","MK,CDN,SW,AC,OQ","2016-2016","MT","2,469,847","1,620.9","1,223,417","802.1","4,087,251","2,671.0","2,346,043","1,627.9","1,238,647","798.0","2,192,252","1,336.4","2,068,361","1,308.4","1,488,171","980.4","1,656,567","995.3","2,582,657","1,584.3","4,725,005","2,765.8","2,781,224","1,715.7","28,859,442","18,206.1","-41","-38","US","R00","0402994500",""
"World Total","1","0402994500","MK,CDN,SW,AC,OQ","2017-2017","MT","750,604","432.9","2,597,778","1,617.8","4,780,851","2,607.7","2,476,425","1,352.4","2,515,079","1,476.6","2,378,500","1,426.2","823,856","470.7","1,345,688","682.1","2,499,279","1,471.5","5,575,959","3,028.9","3,011,554","1,715.1","2,313,495","1,305.9","31,069,068","17,587.8","-23","-24","US","R00","0402994500",""
"World Total","1","0402994500","MK,CDN,SW,AC,OQ","2018-2018","MT","1,816,779","1,004.3","725,408","352.7","843,101","428.8","5,446,182","2,993.3","3,647,429","2,000.5","4,076,724","2,454.9","3,478,818","1,941.2","1,504,932","810.9","2,223,096","1,186.6","3,367,493","1,758.1","3,895,675","2,199.0","4,319,795","2,509.4","35,345,432","19,639.7","11","14","US","R00","0402994500",""
"World Total","2","0402213000","MC,C/NS,3-35,QT","2015-2015","MT","781,967","179.0","485,843","71.3","1,338,820","249.7","1,721,929","443.4","1,729,895","400.8","1,569,269","285.8","1,791,416","411.1","598,697","65.7","1,171,486","263.1","2,136,487","635.8","1,555,806","493.7","2,160,800","715.9","17,042,415","4,215.4","39","45","US","R00","0402213000",""
"World Total","2","0402213000","MC,C/NS,3-35,QT","2016-2016","MT","635,587","150.6","870,951","269.0","2,227,834","908.5","1,186,670","133.2","693,553","84.0","843,899","221.4","1,370,364","459.5","767,141","1,648.4","716,662","1,680.0","703,255","1,083.0","1,603,977","1,469.6","532,354","761.5","12,152,247","8,868.6","-67","-48","US","R00","0402213000",""
"World Total","2","0402213000","MC,C/NS,3-35,QT","2017-2017","MT","243,107","419.3","3,054,526","1,977.9","1,188,334","2,189.9","369,761","606.5","589,928","1,382.9","610,147","1,174.5","787,503","1,540.9","510,000","1,195.5","1,072,680","2,066.5","1,083,415","2,344.9","774,933","120.3","2,872,868","647.6","13,157,202","15,666.7","271","438","US","R00","0402213000",""
"World Total","2","0402213000","MC,C/NS,3-35,QT","2018-2018","MT","420,453","47.6","143,837","16.5","132,959","14.8","820,534","95.9","734,302","82.1","1,069,032","190.7","656,810","81.9","820,101","135.5","74,457","13.9","622,093","81.5","544,270","163.3","2,078,526","536.6","8,117,374","1,460.3","282","229","US","R00","0402213000",""
"World Total","3","0402917000","MC,C/NS,AC,OQ","2015-2015","MT","1,537,923","1,011.0","435,360","275.7","1,131,269","720.7","1,427,575","918.5","598,790","397.5","1,141,821","752.5","397,596","238.1","1,567,402","1,084.2","1,274,905","872.5","969,064","650.2","935,683","635.6","1,354,143","930.0","12,771,531","8,486.6","45","46","US","R00","0402917000",""
"World Total","3","0402917000","MC,C/NS,AC,OQ","2016-2016","MT","298,657","189.8","166,925","101.6","130,768","83.4","88,026","58.8","388,857","269.4","1,198,698","832.1","689,273","496.1","1,012,988","696.0","469,997","363.8","1,863,746","1,408.3","1,744,064","1,234.4","1,360,468","947.4","9,412,467","6,681.1","-22","-23","US","R00","0402917000",""
"World Total","3","0402917000","MC,C/NS,AC,OQ","2017-2017","MT","250,439","184.8","408,551","309.5","535,468","385.5","354,405","262.2","1,026,949","738.2","1,097,789","793.5","1,203,389","860.7","1,071,158","787.6","837,152","637.9","1,411,419","1,023.4","2,645,742","2,050.5","2,239,689","1,694.1","13,082,150","9,727.9","-15","-17","US","R00","0402917000",""
"World Total","3","0402917000","MC,C/NS,AC,OQ","2018-2018","MT","1,084,087","788.0","489,930","368.0","770,758","545.2","567,474","401.2","407,774","307.0","584,085","396.4","686,116","494.3","1,249,194","906.3","1,993,304","1,517.0","934,063","679.9","1,909,352","1,376.3","1,783,016","1,379.1","12,459,153","9,158.9","-7","0","US","R00","0402917000",""
"World Total","4","0402215000","MC,C/NS","2015-2015","MT","2,447,726","591.8","2,248,960","442.9","2,698,113","578.1","1,599,333","300.7","1,443,641","288.5","1,343,689","265.7","1,450,299","291.3","2,118,305","447.0","2,129,295","516.3","2,555,710","694.2","2,063,678","534.2","1,929,487","500.6","24,028,236","5,451.3","-7","-6","US","R00","0402215000",""
"World Total","4","0402215000","MC,C/NS","2016-2016","MT","1,559,878","366.6","2,006,363","451.5","2,045,965","486.7","1,897,116","450.7","1,883,542","510.5","1,987,771","584.1","1,048,454","264.8","2,110,048","559.1","363,705","105.9","1,177,868","399.7","1,595,319","535.3","1,863,182","625.0","19,539,211","5,339.8","17","17","US","R00","0402215000",""
"World Total","4","0402215000","MC,C/NS","2017-2017","MT","1,216,294","370.4","1,500,685","453.6","1,740,910","514.2","2,428,651","705.8","1,158,085","311.0","2,127,761","514.6","1,954,070","497.3","1,427,430","325.4","606,563","107.2","1,364,561","331.2","3,599,395","740.0","3,571,509","769.8","22,695,914","5,640.6","-1","4","US","R00","0402215000",""
"World Total","4","0402215000","MC,C/NS","2018-2018","MT","1,919,670","513.5","790,819","206.2","2,025,475","591.7","2,016,038","475.3","2,799,211","698.6","1,679,499","450.3","2,176,166","529.6","2,019,706","505.4","1,416,841","340.8","2,360,167","532.5","308,225","67.1","1,125,304","275.8","20,637,121","5,187.0","265","311","US","R00","0402215000",""
"World Total","5","0402295000","M/C,C/SW,PW/S,OQ","2015-2015","MT","75,735","12.0","62,828","8.2","67,351","10.0","102,942","17.4","271,157","54.0","187,760","35.7","395,793","74.7","160,004","29.3","181,432","37.2","92,984","17.4","155,319","30.7","53,032","14.3","1,806,337","340.9","-66","-54","US","R00","0402295000",""
"World Total","5","0402295000","M/C,C/SW,PW/S,OQ","2016-2016","MT","54,505","11.2","89,081","22.9","222,692","50.4","311,602","77.1","351,385","78.1","921,591","236.1","413,708","96.0","656,440","153.0","0","0.0","157,782","36.0","106,242","24.0","192,517","48.2","3,477,545","833.0","81","101","US","R00","0402295000",""
"World Total","5","0402295000","M/C,C/SW,PW/S,OQ","2017-2017","MT","369,258","95.1","4,682","1.0","637,352","166.2","4,575","0.1","89,307","42.0","644,124","143.5","15,377","6.2","219,186","46.2","0","0.0","0","0.0","358,080","71.9","267,520","53.7","2,609,461","625.9","-25","-25","US","R00","0402295000",""
"World Total","5","0402295000","M/C,C/SW,PW/S,OQ","2018-2018","MT","0","0.0","89,528","18.0","181,535","39.0","172,113","36.8","0","0.0","0","0.0","0","0.0","89,029","16.0","278,693","52.6","825,982","161.5","12,429","2.2","263,682","47.4","1,912,991","373.5","2,022","2,095","US","R00","0402295000",""
"World Total","6","0402991000","MK,CDN,SW,AC,QT","2015-2015","MT","1,221,508","659.8","1,371,932","803.1","1,841,997","1,100.7","2,420,608","1,421.2","608,543","363.7","124,581","111.3","165,325","91.7","369,080","174.8","395,291","188.0","468,537","227.1","120,732","66.5","671,468","348.0","9,779,602","5,555.7","456","424","US","R00","0402991000",""
"World Total","6","0402991000","MK,CDN,SW,AC,QT","2016-2016","MT","576,856","381.7","639,197","324.8","704,358","392.2","832,052","577.3","1,654,158","1,149.9","210,356","95.2","157,314","68.7","69,266","73.3","47,616","19.9","140,400","73.3","118,896","47.2","124,220","62.5","5,274,689","3,265.9","4","32","US","R00","0402991000",""
"World Total","6","0402991000","MK,CDN,SW,AC,QT","2017-2017","MT","7,090,124","4,101.2","267,868","126.3","136,642","59.8","77,009","34.6","137,951","64.5","284,196","133.9","244,960","115.6","256,171","125.8","227,322","109.6","266,814","127.3","83,964","35.8","126,702","61.5","9,199,723","5,096.1","51","72","US","R00","0402991000",""
"World Total","6","0402991000","MK,CDN,SW,AC,QT","2018-2018","MT","2,632,768","1,633.3","2,011,422","1,155.4","2,208,777","1,279.4","798,866","454.9","191,215","92.0","134,796","65.0","444,546","218.5","224,678","106.5","638,865","329.8","275,110","135.3","131,075","69.8","226,697","108.5","9,918,815","5,648.3","73","55","US","R00","0402991000",""
"World Total","7","0402911000","MC,C/NS,AC,QT","2015-2015","MT","61,923","37.6","305,416","119.5","5,137","1.6","265,143","104.6","0","0.0","0","0.0","85,925","43.6","167,793","58.9","274,124","116.8","0","0.0","75,234","37.8","25,459","9.2","1,266,154","529.7","-66","-76","US","R00","0402911000",""
"World Total","7","0402911000","MC,C/NS,AC,QT","2016-2016","MT","194,140","136.8","1,005,146","615.8","1,250,466","918.6","778,762","528.1","268,428","162.1","0","0.0","160,256","63.2","77,734","29.2","151,408","59.9","127,016","49.7","310,480","119.1","0","0.0","4,323,836","2,682.5","","","US","R00","0402911000",""
"World Total","7","0402911000","MC,C/NS,AC,QT","2017-2017","MT","90,405","35.1","44,640","18.6","78,661","30.0","56,495","24.1","0","0.0","0","0.0","5,692","2.4","0","0.0","359,029","148.5","112,180","45.0","142,893","60.0","269,145","108.2","1,159,140","471.9","88","80","US","R00","0402911000",""
