"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"World Total","7","0402911000","MC,C/NS,AC,QT","2018-2018","MT","119,100","44.8","262,774","92.2","85,952","32.0","80,396","29.8","176,048","69.6","133,137","50.7","313,430","129.3","200,678","82.6","0","0.0","7,171","2.9","130,656","49.7","162,119","66.7","1,671,461","650.3","24","34","US","R00","0402911000",""
"World Total","8","0402210200","MC,C/NS/P,G/S","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","87,808","170.9","262,639","486.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","350,447","657.2","","","US","R00","0402210200",""
"World Total","8","0402210200","MC,C/NS/P,G/S","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","32,247","62.8","0","0.0","0","0.0","0","0.0","0","0.0","32,247","62.8","","","US","R00","0402210200",""
"World Total","8","0402210200","MC,C/NS/P,G/S","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,000","-","0","0.0","0","0.0","0","0.0","24,339","14.1","0","0.0","57,376","111.7","84,715","125.8","","","US","R00","0402210200",""
"World Total","9","0402101000","M/C,P,<1.5%F,QT","2015-2015","MT","111,700","143.7","16,165","6.4","200,871","79.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","31,779","12.6","0","0.0","206,055","260.1","423,624","95.0","990,194","597.0","106","-63","US","R00","0402101000",""
"World Total","9","0402101000","M/C,P,<1.5%F,QT","2016-2016","MT","0","0.0","112,195","44.2","0","0.0","834,764","392.8","881,880","96.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","186,707","38.2","0","0.0","2,015,546","572.0","","","US","R00","0402101000",""
"World Total","9","0402101000","M/C,P,<1.5%F,QT","2017-2017","MT","0","0.0","86,374","10.0","0","0.0","857,687","111.7","0","0.0","0","0.0","224,739","28.2","432,288","228.0","0","0.0","85,527","9.0","0","0.0","0","0.0","1,686,615","386.9","","","US","R00","0402101000",""
"World Total","9","0402101000","M/C,P,<1.5%F,QT","2018-2018","MT","67,638","21.5","297,562","61.1","0","0.0","151,050","20.6","364,257","43.2","67,450","7.0","403,690","48.0","95,078","10.0","311,941","37.1","0","0.0","335,302","39.8","42,048","6.2","2,136,016","294.4","-87","-85","US","R00","0402101000",""
"World Total","10","0402100500","MK/CM,<1.5%F","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","4,810","1.6","0","0.0","524,163","1,020.4","273,068","531.6","165,461","322.1","0","0.0","0","0.0","3,751","-","971,253","1,875.8","","","US","R00","0402100500",""
"World Total","10","0402100500","MK/CM,<1.5%F","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9,916","0.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9,916","0.8","","","US","R00","0402100500",""
"World Total","10","0402100500","MK/CM,<1.5%F","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","186,224","84.0","318,400","299.9","504,624","384.0","71","257","US","R00","0402100500",""
"World Total","10","0402100500","MK/CM,<1.5%F","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12,798","2.4","0","0.0","9,811","5.2","22,609","7.6","","","US","R00","0402100500",""
"World Total","11","0402999000","M/C,CNC,SW OQ","2015-2015","MT","0","0.0","2,544","0.8","2,170","-","0","0.0","3,009","0.8","0","0.0","15,387","12.4","0","0.0","3,827","1.0","0","0.0","0","0.0","3,393","0.8","30,330","15.7","","","US","R00","0402999000",""
"World Total","11","0402999000","M/C,CNC,SW OQ","2016-2016","MT","0","0.0","0","0.0","4,408","1.2","6,912","2.1","4,613","1.2","0","0.0","7,982","2.4","0","0.0","16,200","8.6","2,973","0.8","10,125","5.4","68,982","62.4","122,195","84.1","581","1,055","US","R00","0402999000",""
"World Total","11","0402999000","M/C,CNC,SW OQ","2017-2017","MT","0","0.0","2,889","0.8","4,302","1.2","16,850","5.4","4,406","1.2","31,848","18.6","0","0.0","0","0.0","0","0.0","3,200","1.2","4,744","1.2","4,770","1.6","73,009","31.1","1","43","US","R00","0402999000",""
"World Total","11","0402999000","M/C,CNC,SW OQ","2018-2018","MT","0","0.0","0","0.0","8,213","2.5","8,221","3.0","2,538","1.9","2,578","0.9","9,855","2.6","14,895","7.2","0","0.0","3,092","0.8","2,766","1.2","6,154","1.5","58,312","21.6","122","24","US","R00","0402999000",""
"World Total","12","0402212500","MC,C.NS.P,G/S,OQ","2015-2015","MT","3,630","0.5","4,357","0.6","5,790","0.7","0","0.0","0","0.0","12,348","1.7","5,960","0.8","5,326","0.7","0","0.0","16,197","2.2","0","0.0","0","0.0","53,608","7.1","","","US","R00","0402212500",""
"World Total","12","0402212500","MC,C.NS.P,G/S,OQ","2016-2016","MT","2,090","2.0","0","0.0","0","0.0","0","0.0","284,281","99.0","3,344","0.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","289,715","101.5","","","US","R00","0402212500",""
"World Total","12","0402212500","MC,C.NS.P,G/S,OQ","2017-2017","MT","66,295","129.1","3,170","0.6","0","0.0","0","0.0","0","0.0","0","0.0","6,120","3.9","0","0.0","16,660","7.7","0","0.0","7,000","3.8","0","0.0","99,245","145.1","","","US","R00","0402212500",""
"World Total","12","0402212500","MC,C.NS.P,G/S,OQ","2018-2018","MT","0","0.0","0","0.0","0","0.0","21,920","39.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,980","3.7","6,000","2.9","2,204","0.6","35,104","46.7","-63","-79","US","R00","0402212500",""
"World Total","13","0402105000","MK/CM,<1.5%F,OQ","2015-2015","MT","71,500","12.6","40,023","10.0","40,023","10.0","20,909","2.5","41,152","10.0","43,904","5.1","80,000","40.0","0","0.0","80,532","20.0","86,685","20.5","83,683","20.6","113,865","30.0","702,276","181.3","36","46","US","R00","0402105000",""
"World Total","13","0402105000","MK/CM,<1.5%F,OQ","2016-2016","MT","38,832","10.0","116,937","30.0","0","0.0","0","0.0","2,756","0.1","0","0.0","29,700","11.2","6,169","2.1","40,386","11.8","0","0.0","31,448","10.5","0","0.0","266,228","75.8","","","US","R00","0402105000",""
"World Total","13","0402105000","MK/CM,<1.5%F,OQ","2017-2017","MT","36,614","10.0","0","0.0","40,890","10.0","0","0.0","0","0.0","40,347","10.0","0","0.0","0","0.0","183,607","76.8","364,698","140.3","240,794","97.2","737,351","225.0","1,644,301","569.2","206","131","US","R00","0402105000",""
"World Total","13","0402105000","MK/CM,<1.5%F,OQ","2018-2018","MT","20,928","2.8","211,524","65.5","0","0.0","174,475","53.2","223,010","255.1","277,673","257.5","0","0.0","0","0.0","380,250","292.5","0","0.0","42,917","10.0","0","0.0","1,330,777","936.7","","","US","R00","0402105000",""
"World Total","14","0402210500","MC,C/NS/P,G/S,QT","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","376,200","732.4","0","0.0","0","0.0","0","0.0","0","0.0","376,200","732.4","","","US","R00","0402210500",""
"World Total","14","0402210500","MC,C/NS/P,G/S,QT","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","65,000","20.0","65,000","20.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","130,000","40.0","","","US","R00","0402210500",""
"World Total","14","0402210500","MC,C/NS/P,G/S,QT","2018-2018","MT","0","0.0","0","0.0","0","0.0","64,252","13.5","0","0.0","99,250","167.5","0","0.0","119,000","231.7","0","0.0","0","0.0","0","0.0","0","0.0","282,502","412.7","","","US","R00","0402210500",""
"World Total","15","0402212700","MC,C/NS,3-35","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","484,010","169.3","550,562","191.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1,034,572","361.0","","","US","R00","0402212700",""
"World Total","15","0402212700","MC,C/NS,3-35","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","46,560","109.1","143,399","336.2","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","189,959","445.3","","","US","R00","0402212700",""
"World Total","16","0402217500","MC,C/NS,>35,QT","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","19,216","2.0","19,216","2.0","","","US","R00","0402217500",""
"World Total","17","0402219000","MC,C/NS,>35,OQ","2015-2015","MT","4,027","0.3","0","0.0","288,795","58.0","86,775","19.5","270,270","80.4","173,550","60.9","285,843","58.5","271,440","58.5","173,550","39.0","0","0.0","0","0.0","0","0.0","1,554,250","375.1","","","US","R00","0402219000",""
"World Total","17","0402219000","MC,C/NS,>35,OQ","2016-2016","MT","0","0.0","87,750","19.5","182,325","39.0","273,000","58.5","185,250","39.0","87,750","19.5","163,077","62.2","183,300","87.5","183,300","87.5","0","0.0","103,485","46.2","191,100","91.2","1,640,337","550.0","85","98","US","R00","0402219000",""
"World Total","17","0402219000","MC,C/NS,>35,OQ","2017-2017","MT","171,181","76.3","0","0.0","52,500","25.1","102,375","48.9","77,250","36.9","0","0.0","0","0.0","19,096","24.7","0","0.0","0","0.0","0","0.0","0","0.0","422,402","211.8","","","US","R00","0402219000",""
"World Total","17","0402219000","MC,C/NS,>35,OQ","2018-2018","MT","209,040","99.8","103,350","49.3","98,865","47.2","307,905","146.9","202,215","96.5","312,645","157.6","506,610","241.8","312,406","149.1","206,716","98.7","105,690","50.4","92,430","44.1","0","0.0","2,457,872","1,181.3","","","US","R00","0402219000",""
"World Total","18","0402291000","M.C,C/SW,PW/S,QT","2015-2015","MT","62,235","19.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","62,235","19.5","","","US","R00","0402291000",""
"World Total","18","0402291000","M.C,C/SW,PW/S,QT","2018-2018","MT","47,981","19.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","47,981","19.6","","","US","R00","0402291000",""
"World Total","19","0402910600","MC,C/NS,NAC","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","38,532","30.5","0","0.0","0","0.0","38,532","30.5","","","US","R00","0402910600",""
"World Total","20","0402913000","MC,C/NS,NAC,QT","2016-2016","MT","0","0.0","0","0.0","0","0.0","7,898","2.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7,898","2.5","","","US","R00","0402913000",""
"World Total","21","0402919000","MC,C/NS,NAC,OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","33,923","26.8","0","0.0","9,182","7.3","9,205","0.1","0","0.0","0","0.0","4,216","0.9","56,526","35.0","","","US","R00","0402919000",""
"World Total","21","0402919000","MC,C/NS,NAC,OQ","2016-2016","MT","7,563","6.0","0","0.0","7,399","1.7","3,826","0.8","7,719","1.7","87,347","17.3","0","0.0","6,571","19.9","4,740","1.5","0","0.0","0","0.0","82,965","250.9","208,130","299.7","","","US","R00","0402919000",""
"World Total","21","0402919000","MC,C/NS,NAC,OQ","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20,986","16.6","96,713","280.7","26,688","20.6","0","0.0","92,393","279.4","236,780","597.3","","","US","R00","0402919000",""
"World Total","21","0402919000","MC,C/NS,NAC,OQ","2018-2018","MT","0","0.0","94,985","287.2","0","0.0","134,576","374.0","34,026","7.0","93,559","282.9","0","0.0","137,754","317.7","0","0.0","106,605","299.4","91,296","276.1","0","0.0","692,801","1,844.4","","","US","R00","0402919000",""
"World Total","22","0402990300","MK,CDN,SW,AC","2015-2015","MT","5,088","4.7","0","0.0","3,031","1.9","0","0.0","49,819","24.7","0","0.0","0","0.0","2,057","2.3","38,400","22.8","38,400","22.8","0","0.0","67,200","45.5","203,995","124.7","","","US","R00","0402990300",""
"World Total","22","0402990300","MK,CDN,SW,AC","2016-2016","MT","0","0.0","71,765","49.3","79,133","53.5","0","0.0","0","0.0","11,175","3.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","162,073","106.7","","","US","R00","0402990300",""
"World Total","23","0402990600","MK,CDN,SW,NAC","2015-2015","MT","0","0.0","0","0.0","8,993","3.7","0","0.0","0","0.0","0","0.0","3,031","3.6","3,031","1.6","0","0.0","0","0.0","0","0.0","0","0.0","15,055","8.9","","","US","R00","0402990600",""
"World Total","24","0402995500","MK,CDN,SW,NAC,OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,163","1.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,163","1.5","","","US","R00","0402995500",""
"World Total","24","0402995500","MK,CDN,SW,NAC,OQ","2016-2016","MT","0","0.0","0","0.0","0","0.0","43,920","126.0","0","0.0","4,160","0.7","0","0.0","0","0.0","0","0.0","0","0.0","76,464","36.2","53,982","42.8","178,526","205.6","-29","18","US","R00","0402995500",""
"World Total","24","0402995500","MK,CDN,SW,NAC,OQ","2017-2017","MT","0","0.0","56,784","45.5","12,936","6.6","0","0.0","7,735","2.4","0","0.0","0","0.0","47,594","24.3","0","0.0","26,196","14.0","0","0.0","0","0.0","151,245","92.8","","","US","R00","0402995500",""
"World Total","24","0402995500","MK,CDN,SW,NAC,OQ","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","15,360","9.5","34,939","22.8","0","0.0","36,000","22.8","0","0.0","0","0.0","0","0.0","86,299","55.0","","","US","R00","0402995500",""
"World Total","25","0402997000","M/C,CNC,SW,QT","2015-2015","MT","0","0.0","0","0.0","43,840","22.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","43,840","22.6","","","US","R00","0402997000",""
"World Total","25","0402997000","M/C,CNC,SW,QT","2017-2017","MT","0","0.0","20,990","11.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","20,990","11.4","","","US","R00","0402997000",""
"World Total","25","0402997000","M/C,CNC,SW,QT","2018-2018","MT","10,367","3.6","0","0.0","6,665","1.5","0","0.0","0","0.0","6,272","1.5","7,830","4.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","31,134","11.2","","","US","R00","0402997000",""
"Chile","1","0402994500","MK,CDN,SW,AC,OQ","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","966,950","570.7","1,522,683","949.2","231,021","121.8","805,419","468.9","1,925,562","1,083.5","2,169,170","1,211.8","2,342,464","1,515.1","2,536,421","1,707.6","12,499,690","7,628.8","8","13","US","CI","0402994500",""
"Chile","1","0402994500","MK,CDN,SW,AC,OQ","2016-2016","MT","1,618,675","1,137.4","800,037","575.2","2,311,696","1,682.0","1,856,332","1,369.0","822,837","586.5","1,027,227","717.3","1,071,943","761.6","855,808","581.2","834,672","579.3","1,396,748","965.7","2,469,700","1,691.6","1,812,136","1,245.8","16,877,811","11,892.4","-27","-26","US","CI","0402994500",""
"Chile","1","0402994500","MK,CDN,SW,AC,OQ","2017-2017","MT","337,405","228.2","1,674,469","1,101.2","2,112,140","1,326.9","1,043,249","680.5","1,697,132","1,092.0","1,590,164","1,022.2","394,035","255.6","421,391","251.8","1,709,829","1,058.9","1,641,400","1,019.8","1,977,401","1,246.0","1,370,156","840.5","15,968,771","10,123.6","-31","-33","US","CI","0402994500",""
"Chile","1","0402994500","MK,CDN,SW,AC,OQ","2018-2018","MT","712,267","450.3","0","0.0","0","0.0","1,748,439","1,019.5","2,800,369","1,610.7","904,039","485.1","2,522,695","1,454.8","780,074","440.7","1,329,166","753.4","1,671,965","945.7","2,228,887","1,392.5","2,671,643","1,701.4","17,369,544","10,254.1","20","22","US","CI","0402994500",""
"Chile","2","0402991000","MK,CDN,SW,AC,QT","2015-2015","MT","1,148,108","622.6","1,331,075","776.8","1,662,767","1,013.8","2,187,661","1,308.0","426,177","267.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,755,788","3,988.1","","","US","CI","0402991000",""
"Chile","2","0402991000","MK,CDN,SW,AC,QT","2016-2016","MT","391,874","267.9","0","0.0","0","0.0","588,684","431.6","1,491,648","1,071.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,472,206","1,770.5","","","US","CI","0402991000",""
"Chile","2","0402991000","MK,CDN,SW,AC,QT","2017-2017","MT","3,563,298","2,468.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,563,298","2,468.7","","","US","CI","0402991000",""
"Chile","2","0402991000","MK,CDN,SW,AC,QT","2018-2018","MT","1,668,578","1,042.8","1,600,464","933.7","1,989,236","1,167.7","669,251","391.0","33,442","16.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5,960,971","3,551.9","","","US","CI","0402991000",""
"Peru","1","0402917000","MC,C/NS,AC,OQ","2015-2015","MT","1,537,923","1,011.0","435,360","275.7","1,068,429","703.3","1,427,575","918.5","589,843","394.0","1,141,821","752.5","390,185","235.5","1,567,402","1,084.2","1,274,905","872.5","958,867","646.5","935,683","635.6","1,351,160","929.0","12,679,153","8,458.4","44","46","US","PE","0402917000",""
